País,Año,Horas
Philippines,2012,2.49
Brazil,2012,2.41
Colombia,2012,
Nigeria,2012,
Argentina,2012,2.42
Indonesia,2012,2.12
,2012,
UAE,2012,2.21
,2012,
Mexico,2012,2.35
,2012,
South Africa,2012,1.58
,2012,
Egypt,2012,
,2012,
Kenya,2012,
,2012,
Saudi Arabia,2012,2.23
,2012,
Turkey,2012,1.56
,2012,
Ghana,2012,
,2012,
Malaysia,2012,2.39
,2012,
Thailand,2012,1.59
Romania,2012,
,2012,
Russia,2012,1.4
India,2012,1.44
,2012,
Morocco,2012,
,2012,
Vietnam,2012,1.47
,2012,
China,2012,1.19
,2012,
Portugal,2012,
Singapore,2012,1.12
USA,2012,1.22
Hong Kong,2012,1.34
Ireland,2012,
Sweden,2012,1.13
,2012,
Taiwan,2012,1.28
,2012,
UK,2012,1.11
,2012,
Canada,2012,1.12
,2012,
Poland,2012,1.02
,2012,
Italy,2012,1.33
,2012,
Australia,2012,1.15
,2012,
New Zealand,2012,
,2012,
Spain,2012,1.3
,2012,
Denmark,2012,
,2012,
France,2012,1.01
,2012,
,2012,
Belgium,2012,
South Korea,2012,0.47
Netherlands,2012,0.56
,2012,
Switzerland,2012,
,2012,
Austria,2012,
,2012,
Germany,2012,0.58
,2012,
Japan,2012,0.23
Philippines,2013,3.06
Brazil,2013,2.4
Colombia,2013,
Nigeria,2013,
Argentina,2013,2.49
Indonesia,2013,2.21
,2013,
UAE,2013,2.29
,2013,
Mexico,2013,2.5
,2013,
South Africa,2013,2.07
,2013,
Egypt,2013,
,2013,
Kenya,2013,
,2013,
Saudi Arabia,2013,2.18
,2013,
Turkey,2013,2.17
,2013,
Ghana,2013,
,2013,
Malaysia,2013,2.53
,2013,
Thailand,2013,2.34
Romania,2013,
,2013,
Russia,2013,1.46
India,2013,1.57
,2013,
Morocco,2013,
,2013,
Vietnam,2013,1.57
,2013,
China,2013,1.17
,2013,
Portugal,2013,
Singapore,2013,1.29
USA,2013,1.34
Hong Kong,2013,1.26
Ireland,2013,1.24
Sweden,2013,1.13
,2013,
Taiwan,2013,1.3
,2013,
UK,2013,1.14
,2013,
Canada,2013,1.29
,2013,
Poland,2013,1.12
,2013,
Italy,2013,1.49
,2013,
Australia,2013,1.13
,2013,
New Zealand,2013,
,2013,
Spain,2013,1.3
,2013,
Denmark,2013,
,2013,
France,2013,1.05
,2013,
,2013,
Belgium,2013,
South Korea,2013,0.47
Netherlands,2013,0.59
,2013,
Switzerland,2013,
,2013,
Austria,2013,
,2013,
Germany,2013,1.04
,2013,
Japan,2013,0.18
Philippines,2014,3.25
Brazil,2014,2.5
Colombia,2014,
Nigeria,2014,
Argentina,2014,2.5
Indonesia,2014,2.26
,2014,
UAE,2014,2.48
,2014,
Mexico,2014,2.53
,2014,
South Africa,2014,2.16
,2014,
Egypt,2014,
,2014,
Kenya,2014,
,2014,
Saudi Arabia,2014,2.35
,2014,
Turkey,2014,2.25
,2014,
Ghana,2014,
,2014,
Malaysia,2014,2.48
,2014,
Thailand,2014,2.41
Romania,2014,
,2014,
Russia,2014,1.49
India,2014,2.03
,2014,
Morocco,2014,
,2014,
Vietnam,2014,2.07
,2014,
China,2014,1.24
,2014,
Portugal,2014,
Singapore,2014,1.36
USA,2014,1.4
Hong Kong,2014,1.27
Ireland,2014,1.11
Sweden,2014,1.22
,2014,
Taiwan,2014,1.41
,2014,
UK,2014,1.19
,2014,
Canada,2014,1.29
,2014,
Poland,2014,1.13
,2014,
Italy,2014,1.47
,2014,
Australia,2014,1.11
,2014,
New Zealand,2014,
,2014,
Spain,2014,1.26
,2014,
Denmark,2014,
,2014,
France,2014,1.11
,2014,
,2014,
Belgium,2014,
South Korea,2014,0.58
Netherlands,2014,1.02
,2014,
Switzerland,2014,
,2014,
Austria,2014,
,2014,
Germany,2014,1.04
,2014,
Japan,2014,0.17
Philippines,2015,3.41
Brazil,2015,3.18
Colombia,2015,
Nigeria,2015,
Argentina,2015,3.13
Indonesia,2015,2.5
,2015,
UAE,2015,3.01
,2015,
Mexico,2015,3.14
,2015,
South Africa,2015,2.42
,2015,
Egypt,2015,
,2015,
Kenya,2015,
,2015,
Saudi Arabia,2015,2.55
,2015,
Turkey,2015,2.34
,2015,
Ghana,2015,
,2015,
Malaysia,2015,2.59
,2015,
Thailand,2015,2.49
Romania,2015,
,2015,
Russia,2015,1.52
India,2015,2.15
,2015,
Morocco,2015,
,2015,
Vietnam,2015,2.16
,2015,
China,2015,1.27
,2015,
Portugal,2015,1.54
Singapore,2015,1.38
USA,2015,1.43
Hong Kong,2015,1.29
Ireland,2015,1.22
Sweden,2015,1.33
,2015,
Taiwan,2015,1.5
,2015,
UK,2015,1.29
,2015,
Canada,2015,1.27
,2015,
Poland,2015,1.17
,2015,
Italy,2015,1.58
,2015,
Australia,2015,1.1
,2015,
New Zealand,2015,
,2015,
Spain,2015,1.38
,2015,
Denmark,2015,
,2015,
France,2015,1.17
,2015,
,2015,
Belgium,2015,1.15
South Korea,2015,1.05
Netherlands,2015,1.1
,2015,
Switzerland,2015,
,2015,
Austria,2015,
,2015,
Germany,2015,1.08
,2015,
Japan,2015,0.2
Philippines,2016,4.07
Brazil,2016,3.45
Colombia,2016,
Nigeria,2016,
Argentina,2016,3.31
Indonesia,2016,3.02
,2016,
UAE,2016,3.24
,2016,
Mexico,2016,3.33
,2016,
South Africa,2016,2.5
,2016,
Egypt,2016,3.17
,2016,
Kenya,2016,
,2016,
Saudi Arabia,2016,2.56
,2016,
Turkey,2016,2.57
,2016,
Ghana,2016,
,2016,
Malaysia,2016,3.18
,2016,
Thailand,2016,2.46
Romania,2016,
,2016,
Russia,2016,2.17
India,2016,2.3
,2016,
Morocco,2016,
,2016,
Vietnam,2016,2.34
,2016,
China,2016,1.45
,2016,
Portugal,2016,2.13
Singapore,2016,1.58
USA,2016,2.04
Hong Kong,2016,1.39
Ireland,2016,1.38
Sweden,2016,1.37
,2016,
Taiwan,2016,2.03
,2016,
UK,2016,1.42
,2016,
Canada,2016,1.41
,2016,
Poland,2016,1.4
,2016,
Italy,2016,2.02
,2016,
Australia,2016,1.36
,2016,
New Zealand,2016,1.43
,2016,
Spain,2016,1.43
,2016,
Denmark,2016,
,2016,
France,2016,1.23
,2016,
,2016,
Belgium,2016,1.33
South Korea,2016,1.04
Netherlands,2016,1.16
,2016,
Switzerland,2016,
,2016,
Austria,2016,
,2016,
Germany,2016,1.07
,2016,
Japan,2016,0.33
Philippines,2017,4.0
Brazil,2017,3.4
Colombia,2017,
Nigeria,2017,3.03
Argentina,2017,3.12
Indonesia,2017,3.26
,2017,
UAE,2017,2.56
,2017,
Mexico,2017,3.11
,2017,
South Africa,2017,2.47
,2017,
Egypt,2017,3.06
,2017,
Kenya,2017,2.5
,2017,
Saudi Arabia,2017,2.38
,2017,
Turkey,2017,2.49
,2017,
Ghana,2017,2.59
,2017,
Malaysia,2017,3.06
,2017,
Thailand,2017,3.06
Romania,2017,
,2017,
Russia,2017,2.2
India,2017,2.25
,2017,
Morocco,2017,2.22
,2017,
Vietnam,2017,2.36
,2017,
China,2017,1.58
,2017,
Portugal,2017,2.13
Singapore,2017,2.07
USA,2017,2.02
Hong Kong,2017,2.0
Ireland,2017,1.45
Sweden,2017,1.54
,2017,
Taiwan,2017,2.06
,2017,
UK,2017,1.54
,2017,
Canada,2017,1.48
,2017,
Poland,2017,1.42
,2017,
Italy,2017,1.53
,2017,
Australia,2017,1.39
,2017,
New Zealand,2017,1.49
,2017,
Spain,2017,1.38
,2017,
Denmark,2017,
,2017,
France,2017,1.24
,2017,
,2017,
Belgium,2017,1.31
South Korea,2017,1.11
Netherlands,2017,1.24
,2017,
Switzerland,2017,1.18
,2017,
Austria,2017,1.16
,2017,
Germany,2017,1.13
,2017,
Japan,2017,0.46
Philippines,2018,4.08
Brazil,2018,3.39
Colombia,2018,3.34
Nigeria,2018,3.26
Argentina,2018,3.17
Indonesia,2018,3.23
,2018,
UAE,2018,3.0
,2018,
Mexico,2018,3.14
,2018,
South Africa,2018,2.58
,2018,
Egypt,2018,3.05
,2018,
Kenya,2018,2.59
,2018,
Saudi Arabia,2018,2.52
,2018,
Turkey,2018,2.52
,2018,
Ghana,2018,3.09
,2018,
Malaysia,2018,3.03
,2018,
Thailand,2018,3.14
Romania,2018,2.34
,2018,
Russia,2018,2.21
India,2018,2.28
,2018,
Morocco,2018,2.34
,2018,
Vietnam,2018,2.33
,2018,
China,2018,2.0
,2018,
Portugal,2018,2.12
Singapore,2018,2.11
USA,2018,2.05
Hong Kong,2018,1.53
Ireland,2018,1.55
Sweden,2018,1.49
,2018,
Taiwan,2018,1.52
,2018,
UK,2018,1.51
,2018,
Canada,2018,1.47
,2018,
Poland,2018,1.45
,2018,
Italy,2018,1.48
,2018,
Australia,2018,1.34
,2018,
New Zealand,2018,1.42
,2018,
Spain,2018,1.41
,2018,
Denmark,2018,1.35
,2018,
France,2018,1.22
,2018,
,2018,
Belgium,2018,1.31
South Korea,2018,1.11
Netherlands,2018,1.17
,2018,
Switzerland,2018,1.19
,2018,
Austria,2018,1.15
,2018,
Germany,2018,1.08
,2018,
Japan,2018,0.4
Philippines,2019,4.01
Brazil,2019,3.45
Colombia,2019,3.36
Nigeria,2019,3.36
Argentina,2019,3.27
Indonesia,2019,3.15
,2019,
UAE,2019,3.11
,2019,
Mexico,2019,3.1
,2019,
South Africa,2019,3.1
,2019,
Egypt,2019,3.06
,2019,
Kenya,2019,3.06
,2019,
Saudi Arabia,2019,3.06
,2019,
Turkey,2019,3.05
,2019,
Ghana,2019,3.03
,2019,
Malaysia,2019,3.01
,2019,
Thailand,2019,2.51
Romania,2019,2.28
,2019,
Russia,2019,2.28
India,2019,2.25
,2019,
Morocco,2019,2.23
,2019,
Vietnam,2019,2.23
,2019,
China,2019,2.19
,2019,
Portugal,2019,2.18
Singapore,2019,2.1
USA,2019,1.57
Hong Kong,2019,1.52
Ireland,2019,1.51
Sweden,2019,1.51
,2019,
Taiwan,2019,1.51
,2019,
UK,2019,1.5
,2019,
Canada,2019,1.49
,2019,
Poland,2019,1.47
,2019,
Italy,2019,1.46
,2019,
Australia,2019,1.43
,2019,
New Zealand,2019,1.43
,2019,
Spain,2019,1.43
,2019,
Denmark,2019,1.33
,2019,
France,2019,1.28
,2019,
,2019,
Belgium,2019,1.24
South Korea,2019,1.2
Netherlands,2019,1.18
,2019,
Switzerland,2019,1.18
,2019,
Austria,2019,1.17
,2019,
Germany,2019,1.15
,2019,
Japan,2019,0.45
